total.credit.card.limit,avg.percentage_credit_card_limit_used_last_year,saving.amount,checking.amount,yearly.salary,age,dependent.number,loan.repaid
4600,0.84,1532,2192,28800,58,8,No
5600,0.84,5221,4656,39700,25,1,Yes
6700,0.84,2628,6175,49300,26,5,Yes
5100,0.84,708,1055,9000,33,2,No
6100,0.84,104,2962,24400,61,2,Yes
2300,0.84,286,5482,0,38,3,Yes
5900,0.84,966,1562,0,27,6,No
2500,0.84,3204,4084,27300,47,1,Yes
3400,0.84,1051,2091,30100,40,6,No
3600,0.84,984,2552,10600,50,4,No
4500,0.84,1606,889,18400,59,1,No
4900,0.84,865,2096,11500,50,2,No
9400,0.84,2652,3925,45800,59,3,Yes
6000,0.84,1705,7413,16100,54,3,Yes
6300,0.84,1108,5387,53300,38,1,Yes
2900,0.84,759,1458,23500,26,5,No
2700,0.84,3628,4495,60600,31,3,Yes
3200,0.84,4473,6796,32700,42,3,Yes
4500,0.84,1051,2479,36800,55,8,No
2000,0.84,578,3231,0,42,1,No
3100,0.84,1612,2054,34800,28,2,No
6200,0.84,1652,1719,25600,20,2,No
6700,0.84,536,2704,28600,43,2,No
3100,0.84,655,1160,28900,26,4,No
4600,0.84,2143,7868,12000,40,8,Yes
6700,0.84,377,5281,27500,29,6,Yes
5900,0.84,1015,2904,0,29,8,No
3500,0.84,1711,6530,42200,52,8,Yes
3800,0.84,588,2395,12500,43,1,No
7000,0.84,574,7608,50900,37,1,Yes
1900,0.84,703,1145,21100,36,1,No
3700,0.84,1148,809,0,32,3,No
4000,0.84,3024,4582,27700,73,1,Yes
5400,0.84,402,39,26300,46,3,Yes
3500,0.84,1803,1560,24900,36,2,No
2600,0.84,3179,4331,38100,40,1,Yes
6400,0.84,3511,7617,29200,31,2,Yes
3100,0.84,1813,3424,24400,24,2,No
7600,0.84,1798,3062,20300,58,8,Yes
6900,0.84,102,4162,40400,28,3,Yes
1900,0.84,1697,550,27200,42,3,No
3700,0.84,1495,2809,7900,42,8,No
9500,0.84,550,1845,14100,30,3,No
600,0.84,1419,1413,25200,67,8,No
5900,0.84,1239,1940,0,29,5,No
6100,0.84,2945,3567,49800,25,7,Yes
6200,0.84,1298,7937,34500,40,6,Yes
3900,0.84,1996,2752,33200,38,2,Yes
6700,0.84,436,6414,44000,22,0,Yes
3500,0.84,1132,3730,17500,52,8,No
6200,0.84,3037,8159,20000,22,4,Yes
2300,0.84,168,3604,18700,43,1,No
2700,0.84,683,1997,30500,23,1,No
2300,0.84,1457,1597,27300,47,1,No
5800,0.84,588,6768,42200,39,8,Yes
3200,0.84,528,1314,34400,30,5,No
5700,0.84,1725,9048,31800,36,8,Yes
8100,0.84,5505,6858,32600,46,3,Yes
3800,0.84,1948,1680,5000,58,4,No
3200,0.84,1079,4407,0,42,1,No
3200,0.84,2978,3517,14300,40,2,Yes
4000,0.84,2565,7073,42300,45,1,Yes
4800,0.84,2617,4982,14900,37,3,Yes
1800,0.84,4147,3434,65300,36,3,Yes
3200,0.84,1036,1840,6900,22,2,No
2600,0.84,345,2417,0,44,8,No
5400,0.84,1338,3332,15800,23,2,Yes
4300,0.84,637,2804,16400,53,3,No
7300,0.84,5491,1162,43300,48,2,Yes
6000,0.84,735,9316,48200,48,0,Yes
9700,0.84,2622,2366,42400,23,8,Yes
4100,0.84,1270,1655,17000,45,3,No
3800,0.84,942,2796,20900,43,2,No
2400,0.84,1095,1514,18800,32,6,No
3700,0.84,1765,3609,22900,56,2,Yes
2700,0.84,32,2086,68900,38,3,Yes
6100,0.84,440,4212,25600,29,8,Yes
4800,0.84,1717,3567,14000,24,5,No
8900,0.84,1840,2053,38200,64,0,Yes
4200,0.84,6190,3050,41300,43,2,Yes
5200,0.84,3533,3125,2100,49,2,Yes
4200,0.84,594,3315,42000,54,2,Yes
4200,0.84,2347,5103,56900,18,8,Yes
2800,0.84,4939,6017,6100,35,8,Yes
6400,0.84,4456,4072,41600,41,1,Yes
5500,0.84,394,2171,10700,26,6,No
1600,0.84,4393,5390,23600,32,0,Yes
4000,0.84,1799,3964,57700,35,8,Yes
2600,0.84,6717,1318,25300,60,5,Yes
3400,0.84,1497,1664,0,45,4,No
3500,0.84,3031,5011,24600,60,6,Yes
6900,0.84,547,1305,22900,27,7,No
1700,0.84,981,3443,32600,33,5,No
3700,0.84,1123,1795,0,50,1,No
7500,0.84,613,5067,28400,22,8,Yes
2700,0.84,3974,6179,25800,45,4,Yes
6300,0.84,4367,3230,48000,37,0,Yes
6100,0.84,2643,1470,25000,52,7,Yes
2200,0.84,1130,1275,28900,34,8,No
6000,0.84,3624,4686,11300,30,3,Yes
4400,0.84,1229,4044,54700,44,1,Yes
4200,0.84,1729,7274,26600,48,8,Yes
6600,0.84,3296,5398,32000,29,1,Yes
5500,0.84,2624,4292,28900,30,4,Yes
2500,0.84,773,2401,38400,37,2,No
4000,0.84,3691,5627,30200,58,2,Yes
2700,0.84,383,1822,34300,36,1,Yes
5500,0.84,6358,2794,40900,58,2,Yes
4100,0.84,821,6880,15700,49,1,Yes
8900,0.84,5198,4666,22500,37,1,Yes
5400,0.84,2983,3627,32300,25,8,Yes
6000,0.84,4984,5463,43000,69,5,Yes
2700,0.84,4284,1832,37100,50,3,Yes
3200,0.84,2818,268,57300,24,2,Yes
900,0.84,266,2034,0,26,8,No
3700,0.84,2060,3011,21900,50,7,Yes
2600,0.84,1116,776,34900,35,8,No
4000,0.84,2006,2599,49200,57,1,Yes
6200,0.84,636,3464,19100,68,4,No
3700,0.84,614,1705,0,28,6,No
3900,0.84,595,1122,30500,37,6,No
5000,0.84,2733,5860,41300,33,3,Yes
5800,0.84,4639,3952,15600,46,7,Yes
2600,0.84,962,2560,0,28,1,No
2000,0.84,1431,2030,9300,23,2,No
2800,0.84,3041,3265,0,23,8,Yes
500,0.84,916,1021,18000,34,2,No
4400,0.84,1181,2023,0,47,2,No
2600,0.84,1016,930,0,50,8,No
7300,0.84,558,5596,75000,36,1,Yes
3000,0.84,1096,889,31800,38,4,No
2100,0.84,913,840,23300,27,5,No
7500,0.84,124,2109,30800,24,3,Yes
3300,0.84,993,1837,20500,46,4,No
3800,0.84,1946,3192,17400,41,2,Yes
2100,0.84,1123,852,26400,38,5,No
5600,0.84,1145,1154,0,31,8,No
4700,0.84,426,5005,40400,69,3,Yes
600,0.84,895,3489,22000,55,5,No
6300,0.84,3210,5408,17600,64,1,Yes
3900,0.84,581,5856,38800,56,0,Yes
4900,0.84,799,3374,22000,31,8,No
2300,0.84,1730,2902,16400,27,8,Yes
5600,0.84,3978,8205,23700,50,0,Yes
8700,0.84,1774,3362,56900,36,3,Yes
4500,0.84,1354,1682,14800,36,1,No
4800,0.84,3185,6074,43800,59,5,Yes
6600,0.84,2491,3216,22100,52,1,Yes
1200,0.84,2156,5750,43800,21,1,Yes
2900,0.84,1370,1502,21200,44,5,No
2300,0.84,805,3346,35000,63,3,No
3500,0.84,724,1747,38200,53,6,No
5100,0.84,319,1333,21100,46,3,No
5700,0.84,694,5866,35800,65,3,Yes
5800,0.84,1381,2073,44800,33,1,Yes
10600,0.84,2006,2941,30100,48,8,Yes
4500,0.84,3468,6698,81600,47,8,Yes
5600,0.84,1283,1822,27900,43,3,No
5500,0.84,2015,8754,51800,31,0,Yes
4600,0.84,2753,3670,0,50,4,Yes
5900,0.84,1781,919,39300,39,3,Yes
4700,0.84,1804,3140,12800,32,4,Yes
4800,0.84,1504,3124,16400,62,0,Yes
2900,0.84,1820,2296,25900,69,8,No
5500,0.84,534,992,0,39,3,Yes
4500,0.84,4042,4104,12000,30,4,Yes
3200,0.84,572,5697,58100,45,4,Yes
5300,0.84,1875,6135,41700,45,3,Yes
1700,0.84,895,1529,0,39,8,No
5200,0.84,3497,8906,41700,48,5,Yes
3200,0.84,764,1317,54800,56,5,Yes
2700,0.84,2230,1232,27800,52,5,Yes
5400,0.84,1514,1866,56600,47,2,Yes
2500,0.84,223,2668,16600,60,3,No
8000,0.84,1118,2821,25400,50,4,No
5000,0.84,315,1785,14600,29,6,No
3700,0.84,4924,2848,32600,23,3,Yes
6400,0.84,542,21,43000,33,2,No
4400,0.84,3946,4259,41900,33,1,Yes
6000,0.84,1531,2507,21500,30,2,No
4000,0.84,495,2680,21000,32,1,No
3500,0.84,2602,2389,41300,50,2,Yes
3500,0.84,444,3082,20000,50,7,No
900,0.84,1146,892,18500,46,8,No
6400,0.84,2568,3048,33600,42,8,Yes
700,0.84,1598,509,21900,37,8,No
6500,0.84,1148,3701,17700,30,2,Yes
1800,0.84,1103,1830,32900,72,8,No
2400,0.84,413,4601,35900,22,5,Yes
8600,0.84,933,2081,26100,72,1,No
5100,0.84,864,1177,14300,50,1,No
6200,0.84,4298,5125,18200,35,2,Yes
6700,0.84,1524,3881,17400,72,4,Yes
6500,0.84,1636,3750,67500,39,1,Yes
5100,0.84,307,4443,300,55,8,No
8000,0.84,4549,2402,42100,71,8,Yes
2100,0.84,1268,6440,22400,55,7,Yes
3200,0.84,454,1809,29600,54,2,No
4900,0.84,1721,6187,32000,59,1,Yes
2500,0.84,1631,5671,62700,40,3,Yes
2800,0.84,522,1680,39400,50,8,No
4000,0.84,791,5110,47100,69,3,Yes
8100,0.84,3499,4626,50000,54,2,Yes
5100,0.84,1073,1753,26100,24,1,No
9200,0.84,3828,4436,23800,44,1,Yes
2700,0.84,747,2505,0,40,8,No
2100,0.84,3298,5889,6600,42,2,Yes
6600,0.84,941,1496,34000,43,2,No
5700,0.84,4357,5309,21500,48,8,Yes
8300,0.84,1221,7947,42200,31,5,Yes
2500,0.84,805,2793,14500,32,2,Yes
3000,0.84,339,2142,38700,54,1,No
2800,0.84,991,1382,25500,33,5,No
7900,0.84,2652,5331,20400,42,1,Yes
4200,0.84,8605,4194,46900,43,8,Yes
3200,0.84,945,2140,36600,31,8,No
3300,0.84,298,2861,30700,27,1,No
1400,0.84,1109,1885,0,38,2,No
700,0.84,869,1748,20700,56,1,No
10800,0.84,6101,4025,15100,45,8,Yes
500,0.84,1648,1611,0,31,3,No
7200,0.84,98,6699,53100,67,6,Yes
5900,0.84,2249,4259,21700,46,1,Yes
2700,0.84,426,2914,35500,38,8,No
4900,0.84,3677,150,64800,47,8,Yes
6000,0.84,765,3203,29800,46,2,No
5600,0.84,3371,4632,44500,52,0,Yes
3800,0.84,4461,3578,30200,53,0,Yes
4600,0.84,1597,298,33700,57,2,Yes
6100,0.84,659,6280,46600,50,1,Yes
6800,0.84,5361,1450,16400,25,8,Yes
6100,0.84,1912,537,60800,41,1,Yes
7300,0.84,2810,2877,38800,34,8,Yes
3800,0.84,2390,1773,48700,39,2,Yes
2500,0.84,1168,2541,23400,56,4,No
2300,0.84,1675,334,23900,38,4,Yes
5400,0.84,1685,2735,9100,40,2,Yes
4800,0.84,2153,1603,18000,53,2,No
3700,0.84,1142,904,4000,58,2,No
2500,0.84,1849,2883,33500,52,8,No
5800,0.84,2032,2947,29500,45,4,No
4100,0.84,2316,3787,58800,31,8,Yes
4800,0.84,370,2202,27200,39,8,No
8900,0.84,1557,3306,29900,40,1,Yes
3700,0.84,589,862,38000,54,2,No
5700,0.84,599,942,16900,28,3,No
2000,0.84,136,3703,36800,27,1,No
2900,0.84,341,2669,23800,31,5,No
7700,0.84,1916,7107,31600,54,8,Yes
7300,0.84,111,2002,52600,47,1,Yes
7200,0.84,1727,2488,19900,45,2,Yes
2700,0.84,2994,6973,44100,25,1,Yes
4500,0.84,2534,5513,45200,42,7,Yes
6000,0.84,1201,898,5900,48,4,No
5200,0.84,852,2286,24600,22,1,No
3200,0.84,2929,2327,27200,55,1,Yes
4000,0.84,982,3434,45800,51,2,No
7100,0.84,2038,3839,31800,37,2,Yes
6000,0.84,389,4141,9000,44,0,Yes
3700,0.84,3351,4755,35800,56,1,Yes
4000,0.84,685,2894,27200,57,1,No
5100,0.84,3081,5503,27100,33,8,Yes
1300,0.84,1455,1079,0,19,1,No
2300,0.84,613,5163,38800,45,5,Yes
6400,0.84,831,2459,41100,38,5,No
5300,0.84,3024,8222,38100,43,2,Yes
3000,0.84,4670,3015,38600,61,1,Yes
4600,0.84,1391,7299,75100,36,8,Yes
2700,0.84,1370,1730,0,50,3,No
2400,0.84,4892,5164,17100,40,2,Yes
4600,0.84,687,627,35100,28,1,No
3000,0.84,1610,679,39000,46,8,No
4800,0.84,2531,7224,41200,45,1,Yes
5000,0.84,3022,3623,41200,41,1,Yes
4400,0.84,3261,3807,36400,31,3,Yes
2200,0.84,2207,5375,23900,20,2,Yes
3900,0.84,1418,2554,21100,69,8,No
4400,0.84,866,1974,22400,42,4,No
2800,0.84,2178,2888,7500,28,4,Yes
8600,0.84,2012,1738,51200,46,2,Yes
5400,0.84,1016,2435,16400,66,8,No
2300,0.84,314,1636,29300,72,8,No
6300,0.84,313,538,25100,22,8,No
5900,0.84,540,3410,36800,68,0,Yes
3400,0.84,2147,5250,21100,74,5,Yes
2700,0.84,2692,1152,15300,42,3,Yes
1300,0.84,2076,1896,44500,21,3,Yes
2500,0.84,1723,2344,0,37,1,No
5300,0.84,927,2092,0,35,2,No
7500,0.84,2497,1662,21400,36,1,Yes
4400,0.84,1250,2238,0,37,2,No
2200,0.84,1353,1608,0,53,4,No
2200,0.84,1143,3203,29400,18,8,No
2300,0.84,678,1256,0,30,4,No
8900,0.84,2074,4494,39300,59,7,Yes
7000,0.84,1631,1287,21500,38,3,No
3000,0.84,1301,2206,25300,52,7,No
900,0.84,712,3861,0,56,5,No
6900,0.84,3952,7010,33100,20,2,Yes
3100,0.84,318,2666,36300,45,1,No
3300,0.84,649,2492,46000,31,2,No
7500,0.84,3324,3899,12300,21,4,Yes
7800,0.84,1924,3764,30700,34,4,Yes
6300,0.84,2994,5643,19800,36,0,Yes
7000,0.84,2356,3883,36500,40,5,Yes
7800,0.84,1639,6851,23600,36,1,Yes
4500,0.84,3316,6667,49200,79,6,Yes
6000,0.84,1276,69,34300,44,3,No
4800,0.84,2716,3725,28700,42,1,Yes
6100,0.84,352,3493,9300,52,0,Yes
4700,0.84,4320,4367,30800,31,0,Yes
3000,0.84,5303,2196,30700,55,3,Yes
5700,0.84,3779,5574,26800,24,1,Yes
7000,0.84,155,594,27900,45,5,No
7800,0.84,2409,4408,36500,28,1,Yes
4600,0.84,1024,2544,24100,41,2,No
3200,0.84,2283,6267,39900,25,6,Yes
4300,0.84,1717,2144,20400,50,2,Yes
2600,0.84,428,2800,13800,31,6,No
7600,0.84,3977,8201,26600,38,1,Yes
3100,0.84,1018,1134,32400,32,8,Yes
4800,0.84,1978,5813,0,18,1,Yes
6100,0.84,801,1139,19100,49,3,No
3000,0.84,1013,3673,200,39,8,No
3600,0.84,727,2802,29100,45,2,No
2300,0.84,4397,6166,17000,60,1,Yes
5900,0.84,2699,7134,37600,52,1,Yes
5600,0.84,883,1841,43800,48,3,No
4500,0.84,1002,3483,11500,31,6,No
5700,0.84,5172,3745,43600,47,0,Yes
2300,0.84,645,2303,37500,39,7,No
3500,0.84,17,1636,61600,52,1,Yes
4600,0.84,2918,97,35400,25,3,Yes
6800,0.84,2182,6129,0,28,1,Yes
3200,0.84,1224,2285,0,41,2,No
5600,0.84,4394,6569,40100,33,8,Yes
4500,0.84,2631,2781,15800,19,2,Yes
4100,0.84,846,3755,0,33,3,No
4500,0.84,588,9724,34200,32,1,Yes
1900,0.84,1164,6395,35400,39,1,Yes
8500,0.84,6961,5813,46800,60,2,Yes
3900,0.84,1881,3821,43800,32,2,Yes
3200,0.84,5719,2012,44400,32,3,Yes
4800,0.84,700,3009,23500,27,4,No
2800,0.84,7834,7408,9700,39,2,Yes
6100,0.84,1564,7213,49700,41,4,Yes
1300,0.84,1695,1530,0,37,1,No
1300,0.84,1212,835,22400,37,1,No
3000,0.84,1580,3039,50800,31,8,Yes
6500,0.84,2133,5876,28100,24,1,Yes
4100,0.84,137,3402,41500,44,8,Yes
2800,0.84,1262,865,24200,63,3,No
2500,0.84,1730,3435,16000,19,2,Yes
4200,0.84,1094,1802,10200,30,0,No
4400,0.84,1270,6370,45600,57,1,Yes
4700,0.84,2751,4098,42100,39,3,Yes
4000,0.84,856,2480,22200,33,8,No
4700,0.84,507,1113,25400,50,4,No
5300,0.84,3955,4068,11600,30,2,Yes
6600,0.84,971,4804,35900,48,8,Yes
3700,0.84,467,887,18800,23,4,No
5900,0.84,1635,5952,44400,42,1,Yes
6700,0.84,575,445,34500,31,0,Yes
1500,0.84,840,3249,39500,44,8,No
3000,0.84,4555,974,43300,21,3,Yes
5900,0.84,1800,1845,0,71,3,No
2200,0.84,1335,2694,22300,40,3,No
4300,0.84,4426,8678,29800,68,1,Yes
2800,0.84,993,1953,30600,40,4,No
9500,0.84,2139,7116,0,55,4,Yes
4500,0.84,3815,5068,44100,49,4,Yes
1100,0.84,1272,4111,31500,44,4,No
6400,0.84,3155,4526,67400,54,2,Yes
3500,0.84,2843,529,42200,20,1,Yes
2700,0.84,4611,5465,31800,42,2,Yes
3800,0.84,3688,5703,21300,31,1,Yes
3100,0.84,4021,1796,40800,21,1,Yes
600,0.84,1662,1776,0,45,5,No
6800,0.84,8449,1361,15200,43,4,Yes
4500,0.84,559,2281,5700,67,1,No
3800,0.84,2196,5397,19400,26,7,Yes
5400,0.84,1647,1373,22100,35,8,No
5800,0.84,5592,6632,56900,18,1,Yes
4600,0.84,4108,4859,53100,34,4,Yes
4600,0.84,95,916,0,38,3,No
3200,0.84,3668,4288,33300,37,2,Yes
5000,0.84,220,4302,3700,39,0,Yes
3600,0.84,3480,6518,39400,39,1,Yes
4700,0.84,3060,5176,37400,54,8,Yes
3600,0.84,1037,2846,25700,33,2,No
4000,0.84,2038,938,20600,32,8,Yes
1700,0.84,1124,1164,27500,21,1,No
3500,0.84,234,6652,40500,37,1,Yes
2300,0.84,890,1484,25500,56,5,No
2600,0.84,2922,3717,17800,65,8,Yes
6400,0.84,2184,5376,20000,39,8,Yes
5100,0.84,1191,1295,31900,30,5,No
7800,0.84,2895,5050,48600,77,6,Yes
1100,0.84,1671,1756,23200,49,6,No
3300,0.84,960,6132,24800,51,2,Yes
2700,0.84,573,1090,26100,43,5,No
6500,0.84,3233,1547,43500,19,6,Yes
6700,0.84,703,1793,0,53,6,No
4300,0.84,3250,3535,45100,51,1,Yes
2400,0.84,535,2426,22600,24,1,No
4800,0.84,962,6478,40200,71,1,Yes
3500,0.84,1872,4491,29700,49,3,Yes
900,0.84,1736,1518,0,68,1,No
4400,0.84,1522,1001,17500,27,8,No
5000,0.84,1777,3618,53600,37,3,Yes
900,0.84,1895,2881,32100,52,4,No
3900,0.84,2335,1666,40800,58,2,Yes
2900,0.84,2496,4013,9900,43,2,Yes
6500,0.84,2527,3802,43400,54,7,Yes
2400,0.84,1552,4465,39100,68,2,Yes
7100,0.84,1464,1012,21100,30,1,No
6100,0.84,1356,1229,31800,34,4,No
2200,0.84,1465,1399,58500,57,2,No
6200,0.84,22,7939,31600,49,3,Yes
10200,0.84,1369,2583,61600,57,6,Yes
6700,0.84,5939,4136,38700,29,3,Yes
500,0.84,1416,1172,20900,56,1,No
4600,0.84,1024,933,0,43,4,No
7000,0.84,1335,4255,26300,41,6,Yes
7300,0.84,541,4733,19600,21,0,Yes
4100,0.84,1022,3705,0,55,8,No
7900,0.84,1811,999,27200,39,3,Yes
2700,0.84,1196,3525,10500,62,1,No
6700,0.84,1215,3726,20400,56,4,No
7200,0.84,6917,637,55700,39,1,Yes
6600,0.84,2105,5278,35000,40,8,Yes
4400,0.84,2607,2919,28900,34,2,Yes
4600,0.84,758,881,34400,18,8,No
8100,0.84,2521,7273,31600,24,1,Yes
4500,0.84,318,822,9700,28,4,Yes
6400,0.84,2960,3740,39900,50,4,Yes
7800,0.84,3296,4685,65200,45,7,Yes
3000,0.84,1583,571,26800,58,5,Yes
5200,0.84,1012,1074,0,48,8,No
3600,0.84,2174,2767,17900,72,2,No
7000,0.84,4980,5118,29000,43,3,Yes
1900,0.83,1560,1014,23400,22,8,No
6700,0.83,3735,6189,29300,40,6,Yes
4300,0.83,855,765,25000,33,3,No
4400,0.83,201,322,56700,74,8,Yes
6300,0.83,1399,4797,62700,33,2,Yes
7300,0.83,4372,3382,16000,29,3,Yes
5000,0.83,1264,1970,0,41,1,No
2700,0.83,274,1328,30900,43,3,No
5200,0.83,3449,6907,35600,20,6,Yes
3100,0.83,805,2787,25400,28,1,No
5300,0.83,1280,7946,41600,29,1,Yes
5000,0.83,6334,1603,39100,51,1,Yes
3300,0.83,5054,646,35900,25,1,Yes
4500,0.83,1716,2373,25000,52,4,No
5300,0.83,557,3095,5600,37,3,Yes
5900,0.83,433,3097,19200,25,1,Yes
4400,0.83,865,223,0,56,1,No
6300,0.83,3527,3363,29100,26,7,Yes
3700,0.83,1193,5712,29100,39,8,Yes
6400,0.83,6379,4058,0,37,3,Yes
5100,0.83,3231,1717,33300,21,1,Yes
8300,0.83,2547,4161,500,52,0,Yes
1300,0.83,4958,1424,28900,29,3,Yes
2300,0.83,2725,3035,25700,35,2,Yes
7200,0.83,4761,2123,0,19,8,Yes
4100,0.83,2010,2213,18500,53,2,Yes
5400,0.83,2094,104,30400,34,3,No
4300,0.83,5834,4103,33200,19,1,Yes
2100,0.83,479,1312,36100,41,2,No
1400,0.83,1247,2532,16700,28,1,No
3500,0.83,2831,3535,0,22,5,Yes
7700,0.83,3161,5466,24200,41,2,Yes
2500,0.83,1612,2404,52600,27,2,Yes
4000,0.83,687,1703,21600,40,8,No
6100,0.83,36,3407,30200,57,0,Yes
4400,0.83,896,556,18700,40,1,No
3300,0.83,1299,2075,19500,18,2,No
5000,0.83,27,3432,21600,48,2,No
2200,0.83,1268,1179,0,41,0,No
5400,0.83,642,3011,22200,34,7,Yes
3100,0.83,1026,2393,30300,37,1,No
7800,0.83,1761,9480,40900,29,8,Yes
3400,0.83,1269,2634,27200,55,2,Yes
7300,0.83,1880,6976,14000,28,5,Yes
4200,0.83,410,2587,19600,48,3,No
3700,0.83,867,4148,18200,37,5,No
4800,0.83,3927,8302,9700,54,1,Yes
4700,0.83,1045,3300,16900,52,1,No
6800,0.83,2627,4116,44300,36,7,Yes
5300,0.83,2678,766,22100,42,2,Yes
11000,0.83,2877,8876,44800,42,8,Yes
4600,0.83,1351,2658,27300,23,2,No
5000,0.83,2737,5887,50900,51,2,Yes
7900,0.83,2719,8065,54200,68,2,Yes
3600,0.83,1101,7062,29700,58,4,Yes
2700,0.83,2166,4378,40700,70,1,Yes
7600,0.83,4422,127,48900,36,2,Yes
3900,0.83,2983,4185,35700,33,1,Yes
2700,0.83,269,3117,30400,23,4,No
6300,0.83,6388,1512,42700,63,2,Yes
4200,0.83,1390,1450,16400,34,3,No
5500,0.83,662,7353,15300,35,1,Yes
5600,0.83,1237,2996,41000,54,2,Yes
7600,0.83,1331,3667,6900,22,8,Yes
3000,0.83,288,1863,20900,38,6,No
2600,0.83,1070,3251,16100,48,8,No
2100,0.83,925,2553,34200,57,8,No
2300,0.83,2210,2053,0,48,3,No
4000,0.83,1136,2234,0,24,3,No
3300,0.83,2302,5715,19500,63,4,Yes
2400,0.83,1398,966,37500,32,2,No
5700,0.83,2514,3012,52800,35,8,Yes
3200,0.83,2026,729,37200,22,2,No
6600,0.83,2066,2378,33600,60,3,Yes
2700,0.83,3504,705,54900,51,3,Yes
4500,0.83,1070,3830,44100,32,7,Yes
4400,0.83,1744,6169,20300,56,3,Yes
3200,0.83,1579,1446,27800,36,1,No
5600,0.83,2652,4527,14800,51,4,Yes
4800,0.83,3281,408,25900,68,1,Yes
1200,0.83,1170,2637,37500,26,8,No
2500,0.83,2566,7858,33600,32,6,Yes
2900,0.83,1297,2365,0,49,8,No
2500,0.83,1148,1816,36400,21,7,No
2000,0.83,3373,4021,29200,19,8,Yes
4800,0.83,7438,7928,19200,28,0,Yes
5700,0.83,5545,4524,28800,61,1,Yes
5200,0.83,4180,5664,32100,32,3,Yes
6900,0.83,1489,1145,24900,39,5,Yes
6000,0.83,2260,6340,46700,50,2,Yes
4000,0.83,2234,3275,45800,41,4,Yes
4200,0.83,873,2436,44200,46,1,No
6500,0.83,471,1748,19400,29,1,No
6900,0.83,3720,6130,42300,46,5,Yes
2200,0.83,1611,1411,26700,37,8,No
2600,0.83,1434,3161,44100,30,2,No
3400,0.83,1441,1192,33300,24,1,No
5800,0.83,1269,5460,0,66,1,Yes
4100,0.83,2649,3353,15900,33,1,Yes
4100,0.83,948,812,13300,51,8,No
3300,0.83,5087,3816,21100,19,1,Yes
5500,0.83,2210,5830,25400,60,8,Yes
4300,0.83,2531,5624,34700,21,1,Yes
4200,0.83,5705,5971,46900,68,1,Yes
4400,0.83,898,2711,0,55,6,No
6900,0.83,2646,3683,28800,27,4,Yes
5800,0.83,819,2032,22200,46,1,No
8300,0.83,3548,2826,18800,26,2,Yes
6000,0.83,913,3359,10900,26,4,Yes
2300,0.83,2458,2019,0,47,8,No
5700,0.83,3765,6211,60500,32,6,Yes
3500,0.83,250,2390,0,40,8,No
4900,0.83,570,939,23600,42,6,No
2600,0.83,5280,7082,19900,62,5,Yes
1000,0.83,346,2734,32400,33,3,No
3100,0.83,767,1843,16600,58,2,No
5800,0.83,2552,449,46100,25,3,Yes
5400,0.83,3123,526,35800,38,1,Yes
4900,0.83,3359,6221,61200,73,2,Yes
4000,0.83,1146,1495,9000,27,1,No
4800,0.83,608,2609,0,24,1,No
1300,0.83,1049,3071,40700,37,2,No
2000,0.83,1567,2592,0,40,2,No
1100,0.83,1207,992,41100,35,3,No
4600,0.83,175,5121,43600,41,1,Yes
3400,0.83,1789,2612,21500,60,8,No
8300,0.83,358,3021,48100,50,2,Yes
4800,0.83,2750,7284,43800,60,1,Yes
2000,0.83,1001,39,46400,40,1,Yes
5100,0.83,764,1464,13300,51,1,Yes
3300,0.83,5477,8092,41800,53,1,Yes
2200,0.83,979,1713,30700,33,1,No
4900,0.83,2427,2312,36200,52,1,Yes
3800,0.83,1555,2522,46800,43,8,Yes
2200,0.83,38,1766,15500,22,8,No
5400,0.83,760,2630,31500,67,2,No
4300,0.83,1028,506,24200,55,3,No
5200,0.83,1225,8025,33700,31,1,Yes
500,0.83,1489,134,33900,36,3,No
4500,0.83,1827,6286,17100,47,2,Yes
8900,0.83,832,6864,31200,34,1,Yes
8500,0.83,1310,2291,25200,38,1,Yes
2500,0.83,2222,2745,26000,32,4,Yes
500,0.83,1806,2346,0,33,4,No
900,0.83,1437,3108,26300,37,8,No
1400,0.83,861,1539,33400,20,4,No
4200,0.83,1085,2839,17000,25,8,No
7000,0.83,402,307,32500,43,6,Yes
7000,0.83,790,3276,37600,23,6,No
1600,0.83,1671,2215,30000,59,1,No
4100,0.83,61,4127,3800,53,8,Yes
2400,0.83,1114,2447,26900,54,8,No
2700,0.83,1039,2089,41200,38,7,Yes
3300,0.83,1426,2443,31400,43,8,No
8300,0.83,907,741,42400,49,3,Yes
5000,0.83,796,1375,19400,65,1,Yes
7300,0.83,353,1660,13900,58,5,Yes
5000,0.83,3659,6021,38400,45,1,Yes
4900,0.83,678,3633,11200,46,2,No
2800,0.83,3130,2350,10100,38,8,Yes
3000,0.83,984,455,18900,44,3,No
2900,0.83,1573,1087,30700,39,1,No
9200,0.83,443,5510,40400,28,4,Yes
3700,0.83,548,3981,37600,32,2,Yes
800,0.83,1286,2248,34300,44,5,No
3900,0.83,2716,7240,19900,63,1,Yes
3800,0.83,1202,3321,8200,60,7,No
2600,0.83,1579,4028,19800,41,5,No
5500,0.83,193,3309,35100,41,2,Yes
9500,0.83,2053,2286,46900,64,1,Yes
1100,0.83,2239,7428,33800,46,2,Yes
4000,0.83,553,3066,29100,37,2,No
4300,0.83,3454,1728,39200,24,1,Yes
4900,0.83,1186,2070,32100,63,5,No
1800,0.83,1073,420,0,30,4,No
